CUSTOMER_NO,NAME,SALES_PRICE_GROUP_ID,PRICE_LIST_NO,PRICE_LIST_GROUP_NAME,CATALOG_NO,Catalog Description,MIN_QUANTITY,VALID_FROM_DATE,BASE_PRICE,SALES_PRICE,DESCRIPTION_DOC_TEXT,SHIPPING_DIMENSIONS,PRODUCT_COLOR,PACKAGING,SHIP_WEIGHT,U_P_C_CODE,UPCM,MPQTY,PROD_DIM_I,PROD_DIM_M,PRICE_SHEET_DATE,SALES_UNIT_MEAS,CATALOG_DESC,MODEL_NAME,ITEM_DESCRIPTION_OTHER,SERIALIZED,NOT_FOR_SALE,ITEM_STATUS,MANUFACTURER_CATEGORY_CODE,ITEM_PART_NUMBER_REPLACEMENT,ITEM_MODEL_NUMBER_REPLACEMENT,REQUIRED_ACCESSORIES,OPTIONAL_ACCESSORIES,MAP_PRICE,G_S_A_ITEM_COST,G_S_A_ITEM_SELL_PRICE,DISCOUNT_OFF_LIST,FREIGHT_POLICY,FREIGHT_CODE,FREIGHT_CLASS,DROP_SHIP,CERTIFICATE_FOR_ORIGIN,MANUFACTURER_WEBSITE_LINK,MANUFACTURER_DIVISION_NAME,ITEM_INFOCOMM_I_Q_CATEGORY,INFOCOMM_MEMBER_NUMBER,NOTES
827731,SYNNEX CANADA,CORE,COREDIST,Mounts,IBA4-W,Easy Mount Recessed Low Voltage Cable Plate,1,24-Jul-19,5.95,4.43,Easy Mount Recessed Low Voltage Cable Plate,"3.38 x 3.38 x 7.63"" (86 x 86 x 194mm)",WHITE,Plain,0.5,7.35029E+11,1.0735E+13,0,3.22 X 4.88 X 21.7,82 X 124 X 55,   ,EA,Easy Mount Recessed Low Voltage Cable Plate,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
827731,SYNNEX CANADA,CORE,COREDIST,Mounts,IBA5-W,In-Wall Accessories Box with 125V Duplex Power Receptacle,1,24-Jul-19,70,52.03,In-Wall Accessories Box with 125V Duplex Power Receptacle,"10.25 x 4.25 x 13.25"" (260 x 108 x 337mm)",WHITE,Plain,2,7.35029E+11,1.0735E+13,0,8.10 X 7.58 X 3.68,206 X 193 X 93,   ,EA,In-Wall Accessories Box with 125V Duplex Power Receptacle,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
827731,SYNNEX CANADA,CORE,COREDIST,Mounts,IM746P,"In-Wall Articulating Mount For 22"" to 47"" TV's require PLP  ",1,24-Jul-19,389,156.25,"In-Wall Articulating Mount For 22"" to 47"" TV's require PLP  ","21.06 x 4.25 x 22.38"" (535 x 108 x 568mm)",BLACK,Plain,20.6,7.35029E+11,1.0735E+13,0,17.36 x 18.38 x 12.05,441 x 467 x 306,   ,EA,"In-Wall Articulating Mount For 22"" to 47"" TV's require PLP  ",   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
827731,SYNNEX CANADA,CORE,COREDIST,Mounts,IM760P,"In-Wall Articulating Mount For 32"" to 71"" TV's require PLP  ",1,24-Jul-19,519,248.96,"In-Wall Articulating Mount For 32"" to 71"" TV's require PLP  ","24.94 x 6.63 x 22.75"" (633 x 168 x 578mm)",BLACK,Plain,42.6,7.35029E+11,1.0735E+13,0,19.46 x 21.86 x 4.38 - 22.56,494 x 555 x 111 - 573,   ,EA,"In-Wall Articulating Mount For 32"" to 71"" TV's require PLP  ",   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
827731,SYNNEX CANADA,CORE,COREDIST,Mounts,IM760P-S,"In-Wall Articulating Mount For 32"" to 71"" TV's require PLP  ",1,24-Jul-19,519,248.96,"In-Wall Articulating Mount For 32"" to 71"" TV's require PLP  ","24.94 x 6.63 x 22.75"" (633 x 168 x 578mm)",SILVER,Plain,42.6,7.35029E+11,1.0735E+13,0,19.46 x 21.86 x 4.38 - 22.56,494 x 555 x 111 - 573,   ,EA,"In-Wall Articulating Mount For 32"" to 71"" TV's require PLP  ",   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
827731,SYNNEX CANADA,CORE,COREDIST,Mounts,IM760PU,"Universal In-Wall Articulating Mount For 32"" to 71"" TV's",1,24-Jul-19,669,322.92,"Universal In-Wall Articulating Mount For 32"" to 71"" TV's","28.00 x 9.00 x 32.00"" (711 x 229 x 813mm)",BLACK,Plain,58.49,7.35029E+11,1.0735E+13,0,30.75 x 21.86 x 4.34 - 23.80,780 x 555 x 110 - 604,   ,EA,"Universal In-Wall Articulating Mount For 32"" to 71"" TV's",   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
827731,SYNNEX CANADA,CORE,COREDIST,Mounts,IM760PU-S,"Universal In-Wall Articulating Mount For 32"" to 71"" TV's",1,24-Jul-19,669,322.92,"Universal In-Wall Articulating Mount For 32"" to 71"" TV's","27.19 x 8.63 x 32.00"" (691 x 219 x 813mm)",SILVER,Plain,58.49,7.35029E+11,1.0735E+13,0,30.75 x 21.86 x 4.34 - 23.80,780 x 555 x 110 - 604,   ,EA,"Universal In-Wall Articulating Mount For 32"" to 71"" TV's",   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
827731,SYNNEX CANADA,CORE,COREDIST,Mounts,IWB600-2SB,Whiteboard Wall Mount - Dedicated,1,24-Jul-19,240,119.79,Whiteboard Wall Mount - Dedicated,"6.25 x 3.50 x 62.25"" (159 x 89 x 1,581mm)",SILVER,Plain,19.5,7.35029E+11,1.0735E+13,0,59 X 58.8 X 3.39 - 5.79,1499 X 1493 X 86 - 147,   ,EA,Whiteboard Wall Mount - Dedicated,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
827731,SYNNEX CANADA,CORE,COREDIST,Mounts,IWB600-UNIV,Whiteboard Mount - Dedicated,1,24-Jul-19,225,113.54,Whiteboard Mount - Dedicated,"6.00 x 4.00 x 46.00"" (152 x 102 x 1,168mm)",SILVER,Plain,18.5,7.35029E+11,1.0735E+13,0,48 - 76 X 5.82 - 7.35,1219 - 1930 X 148 - 187,   ,EA,Whiteboard Mount - Dedicated,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
827731,SYNNEX CANADA,CORE,COREDIST,Mounts,IWB600-WB,SMART Board 600 and 800 series mount,1,24-Jul-19,299,148.25,SMART Board 600 and 800 series mount,"17.00 x 5.00 x 68.00"" (432 x 127 x 1,727mm)",SILVER,Plain,22.3,7.35029E+11,1.0735E+13,0,68 X 58.47 X 4.59 - 5.14,1727 X 1485 X 117 - 131,   ,EA,SMART Board 600 and 800 series mount,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
827731,SYNNEX CANADA,CORE,COREDIST,Mounts,IWB680-W,"Touch Panel Mount for 32-80"" LCD Displays",1,24-Jul-19,430,218.75,"Touch Panel Mount for 32-80"" LCD Displays","12.00 x 3.50 x 46.00"" (305 x 89 x 1,168mm)",WHITE,Plain,36.5,7.35029E+11,1.0735E+13,0,30.62-54.25 x 57.70-73.44 x 3.72-5.00,778-1378 x 1466-1866 x 94-127,   ,EA,"Touch Panel Mount for 32-80"" LCD Displays",   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
827731,SYNNEX CANADA,CORE,COREDIST,Mounts,LC MODELS,OTHER THAN ITEMS LISTED BELOW,1,24-Jul-19,28,13.77, (other than items listed below) Small LCD screen adapter plates. Mount Sold Separately. Check Mount Finder on www.peerlessmounts.com for compatibility,"0 x 0 x 0"" (0 x 0 x 0mm)",OTHER,Plain,0,,,,,,   ,EA,OTHER THAN ITEMS LISTED BELOW,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
827731,SYNNEX CANADA,CORE,COREDIST,Mounts,LC-V200,LCD Adaptor Plate Kit - Convert V100 to V200x100,1,24-Jul-19,28,13.77,LCD Adaptor Plate Kit - Convert V100 to V200x100,"9.25 x 1.00 x 10.00"" (235 x 25 x 254mm)",BLACK,Plain,1.2,7.35029E+11,1.0735E+13,0,NA,NA,   ,EA,LCD Adaptor Plate Kit - Convert V100 to V200x100,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
